Box 0.9: (25,587), (26,587), (26,588), (25,588) 
Box 0.8: (143,509), (160,509), (160,531), (143,531) 
Box 0.7: (136,502), (168,502), (168,548), (136,548) 
Box 0.6: (179,670), (194,670), (194,720), (179,720) 
Box 0.5: (166,640), (194,640), (194,720), (166,720) 
Box 0.4: (711,0), (742,0), (742,36), (711,36) 
Box 0.3: (777,0), (983,0), (983,170), (777,170) 
Box 0.2: (777,0), (990,0), (990,170), (777,170) 
Box 0.1: (202,0), (1180,0), (1180,359), (202,359) 
