frame, id, label, score, x1, y1, x2, y2
1, 0, person, 0.9673364162445068, 318.000000, -2.000000, 399.000000, 163.000000
1, 1, person, 0.9704796671867371, 3.000000, 387.000000, 192.000000, 726.000000
1, 2, person, 0.8994081616401672, 1095.000000, 0.000000, 1182.000000, 220.000000
2, 0, person, 0.9730448722839355, 317.000000, -2.000000, 400.000000, 160.000000
2, 1, person, 0.9816219806671143, 0.000000, 396.000000, 193.000000, 719.000000
2, 2, person, 0.9570605754852295, 1093.000000, 5.000000, 1183.000000, 215.000000
3, 0, person, 0.9708144664764404, 316.000000, -2.000000, 400.000000, 161.000000
3, 1, person, 0.9808065891265869, 0.000000, 397.000000, 192.000000, 719.000000
3, 2, person, 0.964177131652832, 1092.000000, 5.000000, 1183.000000, 215.000000
4, 0, person, 0.9443459510803223, 318.000000, -2.000000, 399.000000, 155.000000
4, 1, person, 0.9806151390075684, 0.000000, 397.000000, 191.000000, 719.000000
4, 2, person, 0.9634473323822021, 1091.000000, 7.000000, 1183.000000, 211.000000
5, 0, person, 0.9544055461883545, 320.000000, -2.000000, 401.000000, 149.000000
5, 1, person, 0.9792923927307129, 0.000000, 397.000000, 191.000000, 719.000000
5, 2, person, 0.9731941223144531, 1091.000000, 7.000000, 1183.000000, 209.000000
6, 0, person, 0.9632053375244141, 324.000000, -6.000000, 396.000000, 152.000000
6, 1, person, 0.9791922569274902, 0.000000, 397.000000, 191.000000, 719.000000
6, 2, person, 0.9732282161712646, 1091.000000, 7.000000, 1184.000000, 209.000000
7, 0, person, 0.9542214870452881, 325.000000, -5.000000, 397.000000, 151.000000
7, 1, person, 0.9810967445373535, 0.000000, 397.000000, 191.000000, 719.000000
7, 2, person, 0.974388837814331, 1091.000000, 6.000000, 1185.000000, 206.000000
8, 0, person, 0.9539904594421387, 327.000000, -4.000000, 395.000000, 152.000000
8, 1, person, 0.9811244010925293, 0.000000, 397.000000, 191.000000, 719.000000
8, 2, person, 0.9734861850738525, 1091.000000, 6.000000, 1188.000000, 205.000000
9, 0, person, 0.9536662101745605, 327.000000, -3.000000, 395.000000, 152.000000
9, 1, person, 0.9805850982666016, 0.000000, 397.000000, 190.000000, 719.000000
9, 2, person, 0.9747211933135986, 1090.000000, 6.000000, 1189.000000, 205.000000
10, 0, person, 0.9544990062713623, 327.000000, -3.000000, 395.000000, 152.000000
10, 1, person, 0.9797959327697754, 0.000000, 396.000000, 191.000000, 719.000000
10, 2, person, 0.9740386009216309, 1090.000000, 6.000000, 1189.000000, 205.000000
11, 0, person, 0.9656672477722168, 328.000000, -4.000000, 395.000000, 147.000000
11, 1, person, 0.9820880889892578, 0.000000, 398.000000, 190.000000, 719.000000
11, 2, person, 0.9820919036865234, 1092.000000, 5.000000, 1191.000000, 206.000000
12, 0, person, 0.9643936157226562, 328.000000, -4.000000, 395.000000, 147.000000
12, 1, person, 0.9826235771179199, 0.000000, 398.000000, 190.000000, 719.000000
12, 2, person, 0.985595703125, 1092.000000, 5.000000, 1192.000000, 206.000000
13, 0, person, 0.9638776779174805, 328.000000, -4.000000, 395.000000, 147.000000
13, 1, person, 0.9821677207946777, 0.000000, 398.000000, 191.000000, 719.000000
13, 2, person, 0.9856491088867188, 1092.000000, 5.000000, 1193.000000, 206.000000
14, 0, person, 0.9580397605895996, 328.000000, -4.000000, 396.000000, 146.000000
14, 1, person, 0.9829888343811035, 0.000000, 398.000000, 191.000000, 719.000000
14, 2, person, 0.9865927696228027, 1093.000000, 6.000000, 1193.000000, 205.000000
15, 0, person, 0.973233699798584, 331.000000, -6.000000, 399.000000, 146.000000
15, 1, person, 0.9765729904174805, 0.000000, 401.000000, 192.000000, 718.000000
15, 2, person, 0.9846799373626709, 1095.000000, 6.000000, 1198.000000, 205.000000
16, 0, person, 0.97021484375, 331.000000, -5.000000, 399.000000, 145.000000
16, 1, person, 0.9737863540649414, 0.000000, 402.000000, 192.000000, 718.000000
16, 2, person, 0.9886331558227539, 1094.000000, 5.000000, 1200.000000, 205.000000
17, 0, person, 0.9694604873657227, 332.000000, -6.000000, 399.000000, 145.000000
17, 1, person, 0.9762570858001709, 0.000000, 402.000000, 192.000000, 718.000000
17, 2, person, 0.9878449440002441, 1096.000000, 4.000000, 1202.000000, 205.000000
18, 0, person, 0.968285322189331, 331.000000, -5.000000, 399.000000, 145.000000
18, 1, person, 0.9793589115142822, 0.000000, 402.000000, 191.000000, 718.000000
18, 2, person, 0.988572359085083, 1097.000000, 3.000000, 1205.000000, 206.000000
19, 0, person, 0.9689276218414307, 331.000000, -5.000000, 399.000000, 145.000000
19, 1, person, 0.9781246185302734, 0.000000, 402.000000, 192.000000, 718.000000
19, 2, person, 0.9886555671691895, 1097.000000, 3.000000, 1206.000000, 206.000000
20, 0, person, 0.9691762924194336, 331.000000, -5.000000, 399.000000, 145.000000
20, 1, person, 0.9768614768981934, 0.000000, 402.000000, 192.000000, 718.000000
20, 2, person, 0.989260196685791, 1097.000000, 3.000000, 1218.000000, 206.000000
21, 0, person, 0.9677450656890869, 332.000000, -5.000000, 399.000000, 144.000000
21, 1, person, 0.9767310619354248, 0.000000, 402.000000, 192.000000, 718.000000
21, 2, person, 0.9888906478881836, 1097.000000, 3.000000, 1224.000000, 207.000000
